1	19
10	12
100	22
101	20
102	11
103	12
104	9
105	37
106	36
107	17
108	23
109	38
11	19
110	12
111	14
112	27
113	29
114	50
115	12
116	10
117	10
118	14
119	8
12	28
120	18
121	21
122	6
123	12
124	17
125	5
126	38
127	29
128	16
129	18
13	6
130	26
131	24
132	10
133	25
134	22
135	23
136	24
137	6
138	27
139	4
14	22
140	19
141	23
142	15
143	11
144	19
145	26
146	24
147	28
148	7
149	28
15	18
150	15
151	14
152	20
153	16
154	12
155	9
156	12
157	13
158	10
159	53
16	12
160	13
161	21
162	23
163	7
164	9
165	16
166	7
167	19
168	8
169	32
17	22
170	3
171	13
172	14
173	7
174	14
175	28
176	13
177	5
178	20
179	21
18	49
180	32
181	21
182	24
183	11
184	15
185	2
186	29
187	17
188	20
189	37
19	22
190	27
191	20
192	6
193	30
194	19
195	7
196	20
197	15
198	21
199	9
2	10
20	14
200	16
201	29
202	35
203	14
204	13
205	6
206	13
207	26
208	14
209	2
21	30
210	14
211	33
212	20
213	9
214	17
215	12
216	23
217	33
218	42
219	20
22	28
220	23
221	17
222	13
223	21
224	40
225	27
226	33
227	21
228	24
229	19
23	22
230	8
231	25
232	19
233	8
234	7
235	21
236	11
237	26
238	18
239	15
24	4
240	22
241	20
242	9
243	23
244	7
245	14
246	30
247	15
248	9
249	34
25	24
250	15
251	24
252	14
253	13
254	20
255	18
256	16
257	20
258	40
259	14
26	9
260	21
261	21
262	8
263	1
264	12
265	14
266	9
267	33
268	17
269	1
27	6
270	26
271	12
272	21
273	29
274	7
275	9
276	46
277	11
278	25
279	8
28	18
280	26
281	11
282	37
283	17
284	26
285	11
286	4
287	17
288	33
289	20
29	16
290	19
291	11
292	4
293	17
294	10
295	10
296	14
297	27
298	7
299	18
3	15
30	17
300	12
301	24
302	31
303	16
304	18
305	9
306	22
307	15
308	20
309	33
31	9
310	21
311	18
312	31
313	47
314	10
315	20
316	24
317	22
318	26
319	4
32	29
320	11
321	10
322	18
323	19
324	26
325	11
326	10
327	10
328	14
329	22
33	20
330	33
331	6
333	26
334	5
335	10
336	28
337	5
338	19
339	11
34	12
340	24
341	13
342	25
343	29
344	11
345	4
346	10
347	15
348	3
349	2
35	28
350	23
351	20
352	24
353	18
354	32
355	16
356	12
357	14
358	17
359	39
36	19
360	12
361	32
362	21
363	20
364	6
365	12
366	17
367	9
368	29
369	10
37	30
370	18
371	12
372	38
373	28
374	36
375	2
376	9
377	2
378	12
379	14
38	2
380	10
381	29
382	16
383	14
384	9
385	3
386	33
387	12
388	24
389	10
39	6
390	14
391	1
392	18
393	2
394	36
395	3
396	10
397	14
398	8
399	17
4	9
40	17
400	1
401	19
402	33
403	11
404	41
405	40
406	8
407	15
408	10
409	21
41	8
410	38
411	22
412	6
413	5
414	21
415	25
416	11
417	18
418	13
419	11
42	14
420	12
421	10
422	26
423	17
424	27
425	9
426	14
427	3
428	37
429	33
43	35
430	7
431	8
432	11
433	6
434	24
435	32
436	18
437	16
438	18
439	17
44	16
440	32
441	32
442	9
443	2
444	2
445	31
446	22
447	31
448	12
449	9
45	1
450	17
451	26
452	19
453	31
454	14
455	18
456	19
457	33
458	15
459	29
46	7
460	26
461	33
462	25
463	24
465	5
466	24
467	23
468	9
469	17
47	11
470	20
471	24
472	11
473	35
474	7
475	29
476	8
477	19
478	14
479	10
48	14
480	10
481	11
482	5
483	13
484	17
485	3
486	6
487	5
488	18
489	11
49	16
490	16
491	24
492	38
493	12
494	8
495	37
496	12
497	19
498	20
499	23
5	11
50	22
500	29
501	11
502	36
503	2
504	26
505	53
506	12
507	2
508	6
509	41
51	19
510	10
511	27
512	24
513	26
514	9
515	13
516	5
517	11
518	2
519	33
52	14
520	36
521	17
522	12
523	26
524	8
525	26
526	3
527	20
528	8
529	40
53	26
530	15
531	1
532	23
533	28
534	17
535	29
536	4
537	14
538	16
539	15
54	8
540	5
541	7
542	29
543	21
544	17
545	7
546	19
547	25
548	10
549	30
55	6
550	22
551	13
552	30
553	19
554	6
555	46
556	2
557	3
558	35
559	13
56	13
560	4
561	15
562	22
563	19
564	7
565	35
566	6
567	4
568	26
569	10
57	7
571	11
572	9
573	9
574	17
575	18
576	17
577	9
578	37
579	27
58	4
581	40
582	5
583	37
584	11
585	23
586	7
587	12
588	8
589	25
59	17
590	11
591	10
592	16
593	9
594	8
595	19
596	14
597	21
598	10
599	39
6	21
60	40
600	28
601	13
602	6
603	19
604	22
605	13
606	6
607	4
608	10
609	30
61	19
610	17
611	15
612	35
613	25
614	28
615	33
616	12
618	29
619	6
62	20
620	4
621	3
622	7
623	25
624	32
625	7
626	28
627	1
628	20
629	13
63	13
630	26
631	13
632	12
633	12
634	61
636	3
637	3
638	35
639	34
64	29
640	8
641	13
642	12
643	14
644	12
645	18
646	2
647	24
648	25
649	15
65	9
650	30
651	29
652	14
653	12
654	19
655	11
656	4
657	22
659	14
66	3
660	16
